Total,Answered,Expired,%Expired,MRT,MRT1,MRT2,MRT3,MRT4,#Runs
37,35,2,5.41,11.08,7.82,12.28,13.03,10.12,50
45,31,14,31.11,10.1,9.89,9.48,9.51,11.84,50
45,28,17,37.78,9.19,7.8,8.45,12.88,10.63,50
46,31,15,32.61,11.93,9.93,12.43,14.5,13.79,50
40,24,16,40.0,10.49,9.76,11.35,11.15,9.7,50
30,24,6,20.0,8.97,8.27,7.1,10.04,11.09,50
45,23,22,48.89,10.16,7.03,12.33,12.1,9.43,50
41,33,8,19.51,9.16,6.89,9.97,11.8,12.42,50
39,33,6,15.38,9.88,8.6,9.82,9.89,12.34,50
43,31,12,27.91,9.73,10.11,10.57,9.36,7.04,50
43,19,24,55.81,9.51,9.81,7.65,12.21,7.19,50
47,24,23,48.94,9.78,8.34,11.88,8.6,11.39,50
41,33,8,19.51,11.66,8.41,11.19,13.33,19.29,50
45,33,12,26.67,9.17,7.89,9.61,9.28,16.41,50
47,27,20,42.55,9.01,7.82,7.88,11.31,13.24,50
28,27,1,3.57,8.87,5.8,8.69,10.79,10.96,50
46,37,9,19.57,9.12,7.2,8.43,11.17,11.72,50
50,28,22,44.0,10.15,7.81,12.69,9.06,13.44,50
33,22,11,33.33,12.08,8.89,15.66,13.71,13.08,50
45,20,25,55.56,10.83,9.63,7.38,16.73,10.77,50
37,31,6,16.22,9.36,8.31,10.09,10.46,10.11,50
37,30,7,18.92,10.24,8.75,12.66,6.5,13.27,50
40,30,10,25.0,9.14,9.27,8.27,10.74,9.73,50
40,22,18,45.0,8.67,9.3,8.11,7.68,12.83,50
47,22,25,53.19,8.64,8.19,11.57,0,4.51,50
37,17,20,54.05,10.24,8.56,8.61,14.35,5.33,50
41,36,5,12.2,10.98,9.95,10.97,13.72,10.41,50
41,31,10,24.39,10.07,9.83,8.82,12.66,11.3,50
44,28,16,36.36,8.91,9.42,7.47,10.85,9.03,50
37,23,14,37.84,11.22,9.75,11.83,12.59,10.23,50
42,26,16,38.1,9.56,9.22,9.66,7.45,15.23,50
34,26,8,23.53,11.14,11.5,11.92,9.45,10.32,50
43,29,14,32.56,9.27,10.21,7.48,10.74,8.61,50
39,21,18,46.15,10.6,8.62,14.02,9.67,8.17,50
40,27,13,32.5,10.35,8.11,9.3,13.87,15.06,50
42,27,15,35.71,10.18,7.52,12.12,12.32,11.24,50
53,32,21,39.62,10.26,9.88,10.26,11.7,7.63,50
43,28,15,34.88,10.88,11.15,9.96,7.76,12.19,50
41,29,12,29.27,10.33,9.23,12.59,10.72,9.61,50
35,27,8,22.86,10.04,6.14,10.43,10.79,12.7,50
43,35,8,18.6,11.44,10.55,12.33,14.17,7.79,50
34,31,3,8.82,9.34,7.12,10.12,11.0,9.44,50
50,29,21,42.0,11.63,8.24,12.51,18.49,13.38,50
41,34,7,17.07,11.21,10.59,11.29,11.08,12.24,50
46,36,10,21.74,10.84,8.56,10.98,13.13,12.26,50
35,29,6,17.14,10.07,9.2,8.71,10.87,13.81,50
31,24,7,22.58,12.28,12.02,11.12,14.01,13.2,50
52,36,16,30.77,10.86,9.24,11.91,8.9,17.4,50
45,30,15,33.33,9.46,7.47,11.79,11.67,10.32,50
34,24,10,29.41,10.02,9.68,12.47,9.86,7.48,50
40,32,8,20.0,10.45,8.43,12.72,11.08,7.43,50
39,23,16,41.03,11.38,10.43,10.62,12.85,11.67,50
45,38,7,15.56,9.92,6.69,12.29,12.35,13.1,50
41,36,5,12.2,9.67,8.35,12.36,11.03,9.8,50
42,22,20,47.62,11.36,12.56,10.52,11.36,9.04,50
41,26,15,36.59,9.9,7.65,10.4,10.42,13.78,50
37,30,7,18.92,8.86,5.6,10.3,9.41,8.56,50
43,30,13,30.23,10.7,10.12,9.01,11.07,13.82,50
54,34,20,37.04,10.46,8.89,11.93,11.8,7.15,50
37,34,3,8.11,11.25,10.8,8.88,13.16,12.82,50
39,29,10,25.64,9.47,7.64,10.72,11.78,7.76,50
40,29,11,27.5,11.25,8.66,12.55,11.14,14.5,50
40,26,14,35.0,8.65,7.06,10.45,9.53,8.96,50
36,25,11,30.56,12.29,10.38,14.24,12.57,9.25,50
40,27,13,32.5,10.8,7.02,13.14,15.85,10.41,50
38,31,7,18.42,11.46,8.94,9.69,13.33,13.31,50
37,24,13,35.14,11.31,10.28,13.79,9.93,10.02,50
42,26,16,38.1,11.11,12.09,8.47,11.24,12.65,50
37,25,12,32.43,11.27,9.33,13.4,9.74,13.7,50
41,28,13,31.71,11.66,6.92,16.06,12.61,9.35,50
38,30,8,21.05,8.98,6.95,8.59,10.62,12.8,50
42,31,11,26.19,11.03,9.28,13.15,10.91,9.34,50
35,21,14,40.0,10.72,10.7,11.77,11.1,8.14,50
38,27,11,28.95,10.62,10.18,5.27,12.26,12.14,50
48,36,12,25.0,12.19,10.21,12.27,14.42,14.48,50
36,30,6,16.67,11.45,8.16,13.37,11.5,11.91,50
28,23,5,17.86,11.2,4.57,10.98,11.65,13.95,50
34,23,11,32.35,11.57,9.27,12.04,13.65,10.11,50
46,35,11,23.91,10.05,7.27,11.95,10.6,8.92,50
47,29,18,38.3,11.18,8.87,15.57,12.22,11.14,50
37,21,16,43.24,12.75,11.46,15.46,12.19,9.52,50
41,28,13,31.71,11.05,7.34,11.58,14.43,16.49,50
36,26,10,27.78,11.26,11.17,13.2,12.78,7.79,50
49,31,18,36.73,12.57,10.07,14.4,14.48,12.46,50
45,29,16,35.56,10.97,7.69,12.74,16.59,13.48,50
38,20,18,47.37,10.81,10.03,15.41,10.22,11.85,50
36,31,5,13.89,12.55,11.53,13.25,12.14,13.47,50
42,30,12,28.57,9.6,8.08,9.56,11.44,8.92,50
33,30,3,9.09,11.9,10.42,11.06,13.23,15.57,50
41,30,11,26.83,10.96,7.37,14.36,11.75,9.14,50
37,25,12,32.43,12.91,12.15,12.2,17.18,11.79,50
35,30,5,14.29,10.62,8.41,10.48,15.45,9.67,50
41,29,12,29.27,10.15,7.36,11.7,11.59,13.59,50
41,28,13,31.71,10.43,9.29,10.55,11.76,12.72,50
34,30,4,11.76,9.52,8.22,10.32,9.53,12.38,50
